PWS ID,Facility Water Type,Latitude,Longitude,Contaminant,chain length,long-short,Total,key,bdod,cec,cfvo,clay,nitrogen,ocd,phh2o,sand,silt,soc,wv0010,wv0033,wv1500
TX1070004,SW-Surface Water,32.172412,-96.115257,PFBA,4,short,125,32.172412-96.115257,188,425,30,928,127,370,80,765,872,149,440,411,339
TX1070004,SW-Surface Water,32.172412,-96.115257,PFHxA,6,short,3.7,32.172412-96.115257,188,425,30,928,127,370,80,765,872,149,440,411,339
TX1070004,SW-Surface Water,32.172412,-96.115257,PFMPA,4,short,4.2,32.172412-96.115257,188,425,30,928,127,370,80,765,872,149,440,411,339
TX1070004,SW-Surface Water,32.172412,-96.115257,PFPeA,5,short,3,32.172412-96.115257,188,425,30,928,127,370,80,765,872,149,440,411,339
TX1070106,SW-Surface Water,32.234904,-96.081598,PFBA,4,short,7,32.234904-96.081598,190,436,330,950,301,362,79,849,982,244,464,454,350
TX1070167,SW-Surface Water,32.323219,-96.063283,PFBA,4,short,6.8,32.323219-96.063283,186,295,30,841,110,286,75,862,904,159,440,373,302
TX1070190,SW-Surface Water,32.310393,-96.197819,PFBA,4,short,8.3,32.310393-96.197819,190,354,80,858,150,288,80,842,867,165,486,412,337
TX1080001,SW-Surface Water,26.181294,-98.117252,PFBA,4,short,5.6,26.181294-98.117252,190,394,280,656,126,279,87,793,509,228,405,390,277
TX1080002,SW-Surface Water,26.073414,-98.073313,PFBA,4,short,13.8,26.073414-98.073313,192,382,10,681,130,225,86,640,625,170,473,400,325
TX1080006,SW-Surface Water,26.202617,-98.24536,PFBA,4,short,11.2,26.202617-98.24536,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1080009,SW-Surface Water,26.168836,-98.190485,PFBA,4,short,11.2,26.168836-98.190485,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1080022,SW-Surface Water,26.20578,-98.408427,PFBA,4,short,11.9,26.20578-98.408427,192,370,10,699,127,209,85,796,599,158,465,397,314
TX1080029,SW-Surface Water,26.239207,-97.983385,PFBA,4,short,20.9,26.239207-97.983385,194,367,10,673,130,340,85,661,683,201,450,398,299
TX1080029,SW-Surface Water,26.239207,-97.983385,PFHxA,6,short,3.5,26.239207-97.983385,194,367,10,673,130,340,85,661,683,201,450,398,299
TX1080029,SW-Surface Water,26.239207,-97.983385,PFPeA,5,short,3.8,26.239207-97.983385,194,367,10,673,130,340,85,661,683,201,450,398,299
TX1090001,SW-Surface Water,31.997726,-97.116582,PFBA,4,short,8.2,31.997726-97.116582,188,540,300,851,259,388,81,305,840,288,500,444,337
TX1090001,SW-Surface Water,31.997726,-97.116582,PFBS,4,short,18.5,31.997726-97.116582,188,540,300,851,259,388,81,305,840,288,500,444,337
TX1090001,SW-Surface Water,31.997726,-97.116582,PFHxA,6,short,19.1,31.997726-97.116582,188,540,300,851,259,388,81,305,840,288,500,444,337
TX1090001,SW-Surface Water,31.997726,-97.116582,PFOA,8,Long,4.5,31.997726-97.116582,188,540,300,851,259,388,81,305,840,288,500,444,337
TX1090001,SW-Surface Water,31.997726,-97.116582,PFPeA,5,short,17.7,31.997726-97.116582,188,540,300,851,259,388,81,305,840,288,500,444,337
TX1090035,SW-Surface Water,32.165677,-97.073051,PFBA,4,short,5,32.165677-97.073051,189,580,570,852,259,355,82,265,888,274,477,440,339
TX1090041,SW-Surface Water,31.935735,-97.271533,PFBA,4,short,9.7,31.935735-97.271533,185,521,430,920,263,338,81,733,845,296,461,426,338
TX1090041,SW-Surface Water,31.935735,-97.271533,PFBS,4,short,3.4,31.935735-97.271533,185,521,430,920,263,338,81,733,845,296,461,426,338
TX1110004,SW-Surface Water,32.488781,-97.834505,PFBA,4,short,7,32.488781-97.834505,185,299,241,799,240,268,84,849,757,191,474,410,319
TX1110004,SW-Surface Water,32.488781,-97.834505,PFHxS,6,short,3.2,32.488781-97.834505,185,299,241,799,240,268,84,849,757,191,474,410,319
TX1130031,SW-Surface Water,31.237324,-95.502219,PFBA,4,short,5.1,31.237324-95.502219,185,403,40,728,136,246,74,799,638,137,449,385,312
TX1140001,SW-Surface Water,32.238729,-101.480164,PFBA,4,short,11.2,32.238729-101.480164,189,367,533,758,231,279,85,813,768,244,440,394,296
TX1160004,SW-Surface Water,33.12964,-96.09822,PFBA,4,short,5.4,33.12964-96.09822,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1160004,SW-Surface Water,33.12964,-96.09822,PFOS,8,Long,4.5,33.12964-96.09822,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1160015,SW-Surface Water,32.993666,-96.229385,PFBS,4,short,5.3,32.993666-96.229385,188,425,40,911,215,393,81,767,920,301,477,404,362
TX1160015,SW-Surface Water,32.993666,-96.229385,PFHxA,6,short,7.1,32.993666-96.229385,188,425,40,911,215,393,81,767,920,301,477,404,362
