Latitude,Longitude,Category
42.3642,-82.9568,Waste Management
42.39542,-82.92171,Waste Management
42.4385,-83.01068,Waste Management
42.383463,-83.180399,Waste Management
42.395265,-83.155673,Waste Management
42.368645,-83.051749,Waste Management
42.37197,-83.05188,Waste Management
42.292951,-83.11205,Waste Management
42.36549,-82.96601,Waste Management
42.39453,-83.15933,Waste Management
42.37592,-83.05802,Waste Management
42.417963,-83.257773,Waste Management
42.3389,-82.9975,Waste Management
42.36397,-82.95869,Waste Management
42.3935,-83.03354,Waste Management
42.83357,-84.51859,Waste Management
42.34113,-83.88319,Waste Management
42.65462,-84.65433,Waste Management
42.05528,-86.24219,Waste Management
41.98383,-86.133861,Waste Management
41.96308,-83.65455,Waste Management
41.96101,-83.64197,Waste Management
41.9933,-83.6596,Waste Management
41.954334,-83.649686,Waste Management
42.927061,-83.988297,Waste Management
42.951297,-83.957602,Waste Management
42.91607,-84.02734,Waste Management
42.92975,-84.00345,Waste Management
42.95142,-83.950821,Waste Management
42.792908,-82.493194,Waste Management
42.76298,-82.49603,Waste Management
42.72208,-84.51163,Waste Management
44.283939,-83.502077,Waste Management
42.47598,-84.60088,Waste Management
42.5188,-84.65212,Waste Management
42.49249,-84.65134,Waste Management
41.99813,-86.30728,Waste Management
42.24485,-83.14917,Waste Management
41.76817,-85.951559,Waste Management
44.91417,-85.39456,Waste Management
43.833,-83.1712,Waste Management
43.09222,-84.39931,Waste Management
43.030008,-82.81159,Waste Management
42.99596,-82.76412,Waste Management
42.98901,-82.756315,Waste Management
41.735131,-83.535833,Waste Management
41.811389,-83.486667,Waste Management
41.731819,-83.509247,Waste Management
45.764722,-87.131,Waste Management
45.766221,-87.125718,Waste Management
45.72435,-87.09592,Waste Management
43.641186,-83.84354,Waste Management
46.536,-89.2825,Waste Management
42.47682,-83.41989,Waste Management
42.58908,-86.10237,Waste Management
42.46498,-83.12678,Waste Management
42.451389,-83.114722,Waste Management
42.452505,-83.179688,Waste Management
44.58408,-85.359089,Waste Management
43.00251,-83.68828,Waste Management
43.0362,-83.7729,Waste Management
43.00361,-83.6839,Waste Management
43.083904,-83.674443,Waste Management
43.051326,-83.665056,Waste Management
43.04112,-83.69388,Waste Management
43.06806,-83.86538,Waste Management
43.679831,-82.626577,Waste Management
43.008515,-84.736526,Waste Management
42.660684,-84.08441,Waste Management
42.642994,-84.078043,Waste Management
43.325019,-83.744385,Waste Management
44.631037,-86.223163,Waste Management
43.57608,-84.16806,Waste Management
43.510236,-84.100686,Waste Management
41.8139,-86.5183,Waste Management
42.32497,-83.36094,Waste Management
45.8404,-87.01016,Waste Management
44.116667,-84.426707,Waste Management
43.97806,-84.49424,Waste Management
42.345917,-85.818978,Waste Management
42.9148,-83.72049,Waste Management
42.914749,-83.722404,Waste Management
42.874484,-83.637829,Waste Management
43.06121,-86.20575,Waste Management
42.789248,-84.691393,Waste Management
42.793203,-84.714772,Waste Management
42.757732,-84.762902,Waste Management
42.948,-85.700472,Waste Management
42.9492,-85.6939,Waste Management
42.94892,-85.69689,Waste Management
43.016119,-85.757083,Waste Management
42.9744,-85.82785,Waste Management
43.04858,-85.63591,Waste Management
42.87294,-85.68421,Waste Management
42.95294,-85.67009,Waste Management
43.013181,-85.750892,Waste Management
42.905518,-85.529359,Waste Management
42.922222,-85.741944,Waste Management
43.330778,-85.812948,Waste Management
43.17022,-85.25005,Waste Management
42.12818,-83.17198,Waste Management
42.44893,-82.89108,Waste Management
46.33277,-87.37767,Waste Management
46.2649,-87.4446,Waste Management
46.285407,-87.453995,Waste Management
44.382644,-83.776759,Waste Management
42.66564,-86.13462,Waste Management
43.82457,-82.63745,Waste Management
43.996167,-84.798074,Waste Management
44.64865,-83.42884,Waste Management
42.21495,-86.19117,Waste Management
42.64216,-85.27385,Waste Management
42.6812,-85.2969,Waste Management
42.68109,-85.297807,Waste Management
42.65023,-85.29968,Waste Management
42.46169,-83.09074,Waste Management
43.40811,-84.21187,Waste Management
45.69613,-87.617673,Waste Management
44.3816,-84.589067,Waste Management
42.66466,-83.59565,Waste Management
45.066114,-83.915487,Waste Management
41.93928,-84.64629,Waste Management
41.935833,-84.640556,Waste Management
42.761389,-86.08,Waste Management
42.79571,-86.10905,Waste Management
42.804965,-86.067737,Waste Management
42.81305,-86.19743,Waste Management
42.80505,-86.06114,Waste Management
